company_name,category,city,item_id,item_name,item_type,referral_link,image_URL,FHDN_calendar_URL,calendar_script,island
Spirit of Kauai,Bus,Kapaa,441140,All Lemuria Journey,Activity,https://fareharbor.com/embeds/book/spiritofkauai/items/441140/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/RF4FPBllSn5i7YnX4Dt2,https://fareharbor.com/embeds/calendar/spiritofkauai/items/441140/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/spiritofkauai/items/441140/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Kauai
Spirit of Kauai,Bus,Kapaa,441138,Kaua'i Healing Journey,Activity,https://fareharbor.com/embeds/book/spiritofkauai/items/441138/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/ARYI4SVoQQeD3BUtyxOJ,https://fareharbor.com/embeds/calendar/spiritofkauai/items/441138/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/spiritofkauai/items/441138/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Kauai
Spirit of Kauai,Bus,Kapaa,441128,Whole Presence QSR Quantum Soul Retrieval,Activity,https://fareharbor.com/embeds/book/spiritofkauai/items/441128/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/H2osZ5YzTKSoK74SnB6Y,https://fareharbor.com/embeds/calendar/spiritofkauai/items/441128/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/spiritofkauai/items/441128/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Kauai
Spirit of Kauai,Bus,Kapaa,441126,Lemurian Soul Retrieval,Activity,https://fareharbor.com/embeds/book/spiritofkauai/items/441126/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/0rY7thJgT9aSd2yOKyfR,https://fareharbor.com/embeds/calendar/spiritofkauai/items/441126/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/spiritofkauai/items/441126/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Kauai
Spirit of Kauai,Bus,Kapaa,441117,Soul Presence Connection,Activity,https://fareharbor.com/embeds/book/spiritofkauai/items/441117/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/nmgWJvvEQRaAXAaj8a9t,https://fareharbor.com/embeds/calendar/spiritofkauai/items/441117/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/spiritofkauai/items/441117/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Kauai
Spirit of Kauai,Bus,Kapaa,330588,Full Day Journey of Sacred Wailua & South Shore,Activity,https://fareharbor.com/embeds/book/spiritofkauai/items/330588/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/nCW4xiZUQXa6YCN73dex,https://fareharbor.com/embeds/calendar/spiritofkauai/items/330588/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/spiritofkauai/items/330588/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Kauai
Spirit of Kauai,Bus,Kapaa,330583,Full Day Journey of Sacred Wailua & North Shore,Activity,https://fareharbor.com/embeds/book/spiritofkauai/items/330583/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/OPzpbDgtRqrvkgTAeF7Q,https://fareharbor.com/embeds/calendar/spiritofkauai/items/330583/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/spiritofkauai/items/330583/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Kauai
Spirit of Kauai,Bus,Kapaa,330570,Sacred Wailua Half Day Retreat,Activity,https://fareharbor.com/embeds/book/spiritofkauai/items/330570/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/7wcmUaZLRIKKWPKMDJ9p,https://fareharbor.com/embeds/calendar/spiritofkauai/items/330570/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/spiritofkauai/items/330570/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Kauai
"Prince Kuhio Tours, LLC",Boat,Honolulu,281128,Late Breakfast Cruise,Activity,https://fareharbor.com/embeds/book/hawaiioceanadventures/items/281128/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/wF4UdF8VR6GNli1vvcYz,https://fareharbor.com/embeds/calendar/hawaiioceanadventures/items/281128/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/hawaiioceanadventures/items/281128/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
"Prince Kuhio Tours, LLC",Boat,Honolulu,265185,Scenic Coastal Cruise,Activity,https://fareharbor.com/embeds/book/hawaiioceanadventures/items/265185/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/e6NCmAn8SzmwaQQh1MVw,https://fareharbor.com/embeds/calendar/hawaiioceanadventures/items/265185/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/hawaiioceanadventures/items/265185/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
"Prince Kuhio Tours, LLC",Boat,Honolulu,265184,Whale Watching Cruise,Activity,https://fareharbor.com/embeds/book/hawaiioceanadventures/items/265184/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/68cz2b2aRK2sfmUTsupM,https://fareharbor.com/embeds/calendar/hawaiioceanadventures/items/265184/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/hawaiioceanadventures/items/265184/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
"Prince Kuhio Tours, LLC",Boat,Honolulu,265170,Whale Watching & Late Breakfast Cruise,Activity,https://fareharbor.com/embeds/book/hawaiioceanadventures/items/265170/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,https://cdn.filestackcontent.com/fMUksABT4idS2tXYxN3A,https://fareharbor.com/embeds/calendar/hawaiioceanadventures/items/265170/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK,< !--FareHarbor calendar-- ><script src='https://fareharbor.com/embeds/script/calendar/hawaiioceanadventures/items/265170/?asn=fhdn&asn-ref=hitraveladvice&full-items=yes&flow=no&branding=yes&bookable-only=yes&ref=hitraveladvice&back=BACKLINK></script>,Oahu
